Collection;ID;sub-species;life-cycle;date;country;region;locality;Measured;cranium ;mandible ;mandible coronoid presence;Uh;Ch;Cb-1;Bb;Hb-1;Cb-2;Hb-2;;;;;;;;;;;;;
La Specola;22894;apuana;paedomorphic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;22898;apuana;paedomorphic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;22892;apuana;paedomorphic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;22897;apuana;paedomorphic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;22919;apuana;paedomorphic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;22893;apuana;paedomorphic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;yes;yes;no;no;no;no;;;;;;;;;;;;;
La Specola;22896;apuana;paedomorphic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;22905;apuana;paedomorphic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;22911;apuana;paedomorphic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;22904;apuana;paedomorphic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;22923;apuana;paedomorphic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;22906;apuana;paedomorphic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;yes;yes;no;no;no;no;;;;;;;;;;;;;
La Specola;22903;apuana;paedomorphic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;22914;apuana;paedomorphic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;22907;apuana;paedomorphic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;22900;apuana;paedomorphic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;yes;no;no;no;no;;;;;;;;;;;;;
La Specola;22920;apuana;paedomorphic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;22901;apuana;paedomorphic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;22902;apuana;paedomorphic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;22910;apuana;paedomorphic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;yes;no;no;no;no;;;;;;;;;;;;;
La Specola;22913;apuana;paedomorphic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;22909;apuana;paedomorphic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;22912;apuana;paedomorphic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;22922;apuana;paedomorphic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
La Specola;22921;apuana;paedomorphic;3/97;Italy;;Costa Rimacina, Luriano, Chindino,Siena, Toscana;yes;yes;yes;yes;yes;no;no;no;no;no;no;;;;;;;;;;;;;
