"id","sub.species","life_cycle","country","locality","svl","r_interlimb_l","l_interlimb_l","body_h","head_l","head_w","head_h","r_lower_jaw_l","r_humerus","r_radius","r_metacarpus","r_toe_fore","r_femur","r_tibia","r_metatarsus","r_toe_hind","l_lower_jaw_l","l_humerus","l_radius","l_metacarpus","l_toe_fore","l_femur","l_tibia","l_metatarsus","l_toe_hind","tail"
"22917","apuana","paedomorphic","Italy","Costa Rimacina. Luriano. Chindino.Siena. Toscana",1.63818964019084,1.25863728272408,1.26434550705009,0.914343157119441,1.04060234011407,0.913813852383717,0.726727209026572,0.866287339084195,0.770852011642144,0.643452676486187,0.332438459915605,0.465382851448418,0.734799829588847,0.592176757395867,0.378397900948138,0.614897216033135,0.924279286061882,0.763427993562937,0.600972895686748,0.281033367247728,0.537819095073274,0.721810615212547,0.555094448578319,0.3654879848909,0.599883072073688,1.50105926221775
"22895","apuana","paedomorphic","Italy","Costa Rimacina. Luriano. Chindino.Siena. Toscana",1.65427282709771,1.28216877830464,1.29247759366778,0.931966114728173,1.03100428136354,0.916453948549925,0.710963118995276,0.873901597864461,0.777426822389311,0.653212513775344,0.342422680822206,0.509202522331103,0.775246259740236,0.550228353055094,0.387389826338729,0.584331224367531,0.890421018800914,0.812913356642856,0.589949601325708,0.296665190261531,0.525044807036845,0.725094521081469,0.513217600067939,0.338456493604605,0.545307116465824,1.48869169831694
"22894","apuana","paedomorphic","Italy","Costa Rimacina. Luriano. Chindino.Siena. Toscana",1.58399179919832,1.2523675144599,1.2523675144599,0.863322860120456,0.981818607170664,0.856728890382883,0.617000341120899,0.840106094456758,0.665580991017953,0.515873843711679,0.255272505103306,0.591064607026499,0.65991620006985,0.52244423350632,0.287801729930226,0.53655844257153,0.835690571492426,0.740362689494244,0.521138083704036,0.220108088040055,0.413299764081252,0.677606952720493,0.523746466811564,0.324282455297693,0.477121254719662,1.47304880508854
"22898","apuana","paedomorphic","Italy","Costa Rimacina. Luriano. Chindino.Siena. Toscana",1.62065647981962,1.25503116334555,1.25503116334555,0.840106094456758,0.945960703577569,0.843855422623161,0.724275869600789,0.872156272748293,0.712649701627211,0.535294120042771,0.198657086954423,0.390935107103379,0.682145076373832,0.528916700277655,0.285557309007774,0.4983105537896,0.877946951629188,0.713490543093943,0.583198773968623,0.2405492482826,0.4983105537896,0.757396028793024,0.523746466811564,0.290034611362518,0.509202522331103,1.45224657452044
"22892","apuana","paedomorphic","Italy","Costa Rimacina. Luriano. Chindino.Siena. Toscana",1.61898892036493,1.27253777737524,1.27253777737524,0.875639937004168,0.994756944587628,0.90848501887865,0.694605198933569,0.862131379313037,0.765668554759014,0.585460729508501,0.326335860928751,0.419955748489758,0.728353782021228,0.552668216112193,0.371067862271736,0.527629900871339,0.862131379313037,0.770852011642144,0.549003262025788,0.342422680822206,0.4983105537896,0.747411807886423,0.565847818673518,0.380211241711606,0.559906625036113,1.46389298898591
"22897","apuana","paedomorphic","Italy","Costa Rimacina. Luriano. Chindino.Siena. Toscana",1.61552922363713,1.21642983087625,1.23502315949522,0.911690158753861,1.01283722470517,0.878521795501206,0.707570176097936,0.868644438394826,0.752816431188271,0.565847818673518,0.301029995663981,0.46686762035411,0.741939077729199,0.534026106056135,0.322219294733919,0.546542663478131,0.868644438394826,0.838849090737255,0.571708831808688,0.260071387985075,0.428134794028789,0.760422483423212,0.575187844927661,0.356025857193123,0.534026106056135,1.52504480703685
"22919","apuana","paedomorphic","Italy","Costa Rimacina. Luriano. Chindino.Siena. Toscana",1.57657168406529,1.19755621315354,1.19755621315354,0.801403710017355,0.99211148778695,0.860338006570994,0.674861140737812,0.851869600729766,0.763427993562937,0.568201724066995,0.243038048686294,0.44870631990508,0.708420900134713,0.544068044350276,0.380211241711606,0.426511261364575,0.859738566197147,0.732393759822969,0.559906625036113,0.342422680822206,0.57978359661681,0.721810615212547,0.549003262025788,0.367355921026019,0.574031267727719,1.41027096425218
"22893","apuana","paedomorphic","Italy","Costa Rimacina. Luriano. Chindino.Siena. Toscana",1.64177147065396,1.26078666865498,1.26078666865498,0.91487181754005,1.03542973818455,0.920123326290724,0.72916478969277,0.865103974641128,0.806179973983887,0.53655844257153,0.322219294733919,0.569373909615046,0.744292983122676,0.633468455579587,0.380211241711606,0.530199698203082,0.88930170250631,0.8109042806687,0.626340367375042,0.401400540781544,0.534026106056135,0.75966784468963,0.639486489268586,0.44870631990508,0.583198773968623,1.52904517076577
"22896","apuana","paedomorphic","Italy","Costa Rimacina. Luriano. Chindino.Siena. Toscana",1.5992278627738,1.22711508258913,1.22711508258913,0.88309335857569,0.994317152669637,0.865696059916071,0.68930885912362,0.841359470454855,0.73559889969818,0.597695185925512,0.214843848047698,0.376576957056512,0.682145076373832,0.509202522331103,0.340444114840118,0.419955748489758,0.870403905279027,0.740362689494244,0.530199698203082,0.2405492482826,0.474216264076255,0.726727209026572,0.577491799837225,0.447158031342219,0.518513939877887,1.40363518979055
"22905","apuana","paedomorphic","Italy","Costa Rimacina. Luriano. Chindino.Siena. Toscana",1.61310151696691,1.26458172923808,1.26458172923808,0.90848501887865,1.01703333929878,0.8926510338773,0.68304703823885,0.862727528317975,0.786751422145561,0.672097857935718,0.262451089730429,0.434568904034199,0.732393759822969,0.518513939877887,0.285557309007774,0.421603926869831,0.89209460269048,0.739572344450092,0.59659709562646,0.209515014542631,0.363611979892144,0.795184589682424,0.544068044350276,0.292256071356476,0.460897842756548,1.49066065335614
"22911","apuana","paedomorphic","Italy","Costa Rimacina. Luriano. Chindino.Siena. Toscana",1.60238559010511,1.26481782300954,1.26481782300954,0.874481817699467,0.988112840268352,0.870403905279027,0.655138434811382,0.833147111912785,0.755874855672491,0.571708831808688,0.178976947293169,0.387389826338729,0.69284691927723,0.690196080028514,0.342422680822206,0.404833716619938,0.824776462475546,0.711807229041191,0.534026106056135,0.209515014542631,0.298853076409707,0.708420900134713,0.544068044350276,0.232996110392154,0.338456493604605,1.49136169383427
