id;sub-species;life_cycle;country;locality;svl;r_interlimb_l;l_interlimb_l;body_h;head_l;head_w;head_h;r_lower_jaw_l;r_humerus;r_radius;r_metacarpus;r_toe_fore;r_femur;r_tibia;r_metatarsus;r_toe_hind;l_lower_jaw_l;l_humerus;l_radius;l_metacarpus;l_toe_fore;l_femur;l_tibia;l_metatarsus;l_toe_hind;tail
7963;apuana;undergoing metamorphosis;Italy;Lago Baccio. Modena;42.77;19.37;20.13;6.24;9.98;8.45;4.18;8.9;5.6;3.51;1.87;2.87;5.86;3.86;2.3;3.12;7.99;5.43;4.2;1.85;2.53;5.3;3.63;2.1;2.66;35.14
7979;apuana;metamorphic;Italy;Lago Baccio. Modena;42.41;18.6;18.6;6.30;10.15;8.75;4.29;8.58;5.99;3.96;1.67;3.7;5.52;3.84;2.45;3.16;8.43;6.12;4.1;1.96;2.79;5.53;3.46;2.43;3.3;35.18
7941;apuana;metamorphic;Italy;Lago Baccio. Modena;50.27;22.68;22.68;7.10;10.34;9;4.76;9.5;6.5;4.4;2.31;2.89;6.83;4.5;2.58;3.6;9.13;6.41;4.52;2.11;3.28;6.93;4.41;2.46;2.5;36.45
7943;apuana;paedomorphic;Italy;Lago Baccio. Modena;48.1;21.74;21.74;8.49;11.83;9.5;5.75;8.92;5.63;3.63;2.32;2.66;5.8;4.4;2.4;3.19;8.61;5.39;3.78;2.16;3.16;5.28;4.34;2.2;2.54;39.13
7988;apuana;undergoing metamorphosis;Italy;Lago Baccio. Modena;43.39;18.98;18.93;6.62;10.9;8.38;4.47;8.4;5.91;3.99;2.16;3.53;5.78;4.1;2.56;3.5;8.18;5.21;3.62;2.7;2.77;5.82;3.91;2.41;2.94;36.17
7965;apuana;undergoing metamorphosis;Italy;Lago Baccio. Modena;44.33;19.45;19.46;6.41;9.79;8.19;4.35;8.36;6.2;3.96;1.87;3.1;5.2;3.92;2.35;3.18;8.29;5.53;4.8;1.85;2.9;5.76;3.36;2.36;3.31;35.86
7962;apuana;metamorphic;Italy;Lago Baccio. Modena;44.92;20.98;20.98;6.55;10.1;8.89;4.66;8.6;5.97;4.4;2.32;2.99;5.76;4.44;2.39;2.91;8.91;5.44;3.88;1.93;3.28;6.28;3.86;2.42;3.47;35.48
7978;apuana;paedomorphic;Italy;Lago Baccio. Modena;38.59;17.25;17.25;6.54;10.41;7.14;4.65;7.7;5.15;3.43;1.86;2.53;4.61;3.21;1.95;2.55;7.12;4.75;3.24;1.95;2.84;5.39;3.45;2.17;2.76;31.33
7947;apuana;undergoing metamorphosis;Italy;Lago Baccio. Modena;45.43;20.33;20.33;6.56;10.87;9.6;4.66;9.3;6.26;4.2;1.92;2.91;6.19;4.13;2.72;3.18;8.23;6.4;3.7;1.77;2.78;6.8;3.93;2.46;2.95;36.38
7964;apuana;metamorphic;Italy;Lago Baccio. Modena;41.78;18.75;18.75;5.99;9.90;8.81;4.5;8.93;5.88;4.1;1.88;2.61;5.16;4.3;2.45;3.3;8.4;5.61;3.61;2.9;2.69;5.88;3.57;2.56;3.8;32.2
7949;apuana;undergoing metamorphosis;Italy;Lago Baccio. Modena;43.56;19.53;19.53;6.20;10.45;8.39;4.55;8.93;5.77;4.1;1.69;2.86;6.1;4.49;2.46;3.5;8.39;5.61;3.86;2.2;3.18;6.1;3.56;2.36;2.97;34.22
7956;apuana;paedomorphic;Italy;Lago Baccio. Modena;53.72;25.32;25.32;8.76;12.36;10.89;6.15;10.7;7.72;5.23;2.55;3.33;7.1;4.96;2.65;3.2;9.98;7.65;4.85;2.33;2.94;6.52;4.45;2.41;3.5;45.6
7984;apuana;undergoing metamorphosis;Italy;Lago Baccio. Modena;43.02;19.49;19.49;6.11;9.3;8.19;4.87;7.79;5.87;3.84;2.13;2.83;5.47;4;2.7;2.65;7.7;5.2;3.26;2.21;3.9;6.13;3.55;2.18;2.97;36.56
7987;apuana;metamorphic;Italy;Lago Baccio. Modena;43.64;19.7;19.7;6.51;9.85;8.58;4.31;8.75;5.64;3.87;1.84;2.67;6.34;3.73;2.13;2.92;8.43;6.9;3.99;2.29;3.23;5.77;3.79;2.55;3.24;37.07
7960;apuana;undergoing metamorphosis;Italy;Lago Baccio. Modena;37.65;17.27;17.27;5.46;8.72;7.6;3.9;7.46;5.3;3.48;1.55;2.23;4.84;3.35;1.8;2.16;6.99;5.5;3.21;1.82;2.46;4.78;3.28;1.86;2.59;28.91
7955;apuana;undergoing metamorphosis;Italy;Lago Baccio. Modena;35.18;14.70;14.70;5.4;9.7;7.5;3.52;7.54;4.98;3.41;1.59;2.24;5.64;3.4;2.39;3.1;6.65;4.88;3.3;1.88;2.29;5.12;3.41;1.91;2.98;30.29
7990;apuana;metamorphic;Italy;Lago Baccio. Modena;34.38;14.55;14.55;4.80;8.19;6.55;3.57;6.61;4.8;3.36;1.5;2.24;4.47;3.49;1.54;2.67;6.42;4.89;2.99;1.56;2.9;4.96;2.68;1.67;2.4;28.3
7939;apuana;undergoing metamorphosis;Italy;Lago Baccio. Modena;33.89;15.33;15.33;4.83;8.67;7.16;3.51;6.82;5.6;3.89;1.67;1.89;4.31;3.2;1.87;2.72;7.4;5.7;3.11;1.91;2.28;4.85;3.44;2.6;2.65;29.89
7935;apuana;metamorphic;Italy;Lago Baccio. Modena;32.35;14.87;14.87;5.2;8.2;6.71;3.52;7.13;4.94;3.76;1.78;1.78;4.53;3.29;1.89;2.21;6.49;5;3.34;1.61;2.3;4.8;2.81;1.64;2.18;29.1
7952;apuana;undergoing metamorphosis;Italy;Lago Baccio. Modena;33.45;14.3;14.3;4.87;8.9;6.59;3.52;6.95;4.32;3.3;1.73;1.92;4.63;3.35;2.6;2.49;6.5;4.36;2.94;1.61;2.6;4.76;3.27;1.85;2.6;27.35
7938;apuana;undergoing metamorphosis;Italy;Lago Baccio. Modena;32.76;13.78;13.78;4.52;8.6;6.72;3.11;6.76;4.48;3.32;1.62;1.63;4.8;3.22;1.57;1.88;6.52;4.9;2.91;1.48;2.19;4.56;2.53;1.59;2.15;27.16
7936;apuana;undergoing metamorphosis;Italy;Lago Baccio. Modena;32.13;13.43;13.43;4.81;8.2;6.43;3.49;6.67;4.88;3.51;1.8;1.93;4.89;2.97;1.4;2.42;6.23;4.6;3.5;1.4;2.4;4.35;3.3;1.71;2.31;28.13
7937;apuana;metamorphic;Italy;Lago Baccio. Modena;32.52;15.33;15.33;4.56;7.89;6.55;3.48;6.87;4.89;3.56;1.55;1.89;4.44;2.94;1.35;2.36;6.9;4.83;2.85;1.52;2.49;4.76;2.8;1.73;2.33;NA
22887;apuana;metamorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;41.8;17.17;17.6;6.88;9.86;7.68;4.5;7.8;6.19;3.99;2.32;2.93;5.6;4.17;2.3;3.37;7.81;6.2;4.14;2.43;3.19;5.88;4.22;2.59;3.46;30.86
22886;apuana;metamorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;45.04;21.71;21.71;8.2;9.76;7.77;4.73;7.95;6.43;4.46;2.3;3;5.91;4.3;2.46;3.37;8.35;6.9;3.95;1.94;3.7;5.89;3.87;2.4;3.73;28.74
22889;apuana;metamorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;48.29;23.75;24.21;7.15;10.29;8.73;4.75;8.44;6.38;4.7;2.4;2.71;6.7;4.27;2.25;3.17;8.36;6.24;3.89;2.22;3.27;5.94;4.16;2.14;3.25;36.86
22891;apuana;metamorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;45.97;22.42;22.42;7.33;10.8;8.31;4.37;8.9;6.14;4.3;2.2;3.3;5.63;4.7;2.31;3.42;7.97;6.27;4;2.17;3.29;5.51;3.76;2.55;2.94;34.98
22888;apuana;metamorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;48.39;23.68;23.68;7.6;10.41;8.56;4.92;9;6.89;3.78;2.18;2.99;6.26;4.46;2.49;3.18;8.3;6.58;4.3;2.32;3.34;5.93;4.45;2.45;3.72;37.65
22890;apuana;metamorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;46.08;23.74;23.74;8.26;10.53;8.36;4.64;7.95;5.98;3.98;2.35;2.84;6.51;3.89;2.33;3.22;7.62;6.12;4.19;2.22;2.93;5.9;4.26;2.14;3.42;31.87
22916;apuana;paedomorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;39.81;17.62;17.62;7.76;9.57;6.75;4.88;7.15;5.5;3.84;1.96;2.76;4.8;3.67;1.95;3.7;6.81;5.34;3.42;1.89;2.55;4.6;3.2;2.2;2.97;28.46
22899;apuana;paedomorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;39.55;16.91;17.12;8.15;9.32;7.31;5.85;7.11;5.15;3.53;1.73;2.72;5.2;3.71;2.18;3.19;6.8;5.62;3.23;1.87;2.7;4.65;3.54;2.35;3.75;29.39
22918;apuana;paedomorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;41.19;16.25;16.25;7.7;10.13;7.62;4.83;7.47;5.7;3.83;2.16;3.18;5.77;3.88;2.32;3.33;7.4;5.57;3.63;1.82;3.27;5.69;3.48;2.47;4.27;29.57
22917;apuana;paedomorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;43.47;18.14;18.38;8.21;10.98;8.2;5.33;7.35;5.9;4.4;2.15;2.92;5.43;3.91;2.39;4.12;8.4;5.8;3.99;1.91;3.45;5.27;3.59;2.32;3.98;31.7
22895;apuana;paedomorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;45.11;19.15;19.61;8.55;10.74;8.25;5.14;7.48;5.99;4.5;2.2;3.23;5.96;3.55;2.44;3.84;7.77;6.5;3.89;1.98;3.35;5.31;3.26;2.18;3.51;30.81
22894;apuana;paedomorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;38.37;17.88;17.88;7.3;9.59;7.19;4.14;6.92;4.63;3.28;1.8;3.9;4.57;3.33;1.94;3.44;6.85;5.5;3.32;1.66;2.59;4.76;3.34;2.11;3;29.72
22898;apuana;paedomorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;41.75;17.99;17.99;6.92;8.83;6.98;5.3;7.45;5.16;3.43;1.58;2.46;4.81;3.38;1.93;3.15;7.55;5.17;3.83;1.74;3.15;5.72;3.34;1.95;3.23;28.33
22892;apuana;paedomorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;41.59;18.73;18.73;7.51;9.88;8.1;4.95;7.28;5.83;3.85;2.12;2.63;5.35;3.57;2.35;3.37;7.28;5.9;3.54;2.2;3.15;5.59;3.68;2.4;3.63;29.1
22897;apuana;paedomorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;41.26;16.46;17.18;8.16;10.3;7.56;5.1;7.39;5.66;3.68;2;2.93;5.52;3.42;2.1;3.52;7.39;6.9;3.73;1.82;2.68;5.76;3.76;2.27;3.42;33.5
22919;apuana;paedomorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;37.72;15.76;15.76;6.33;9.82;7.25;4.73;7.11;5.8;3.7;1.75;2.81;5.11;3.5;2.4;2.67;7.24;5.4;3.63;2.2;3.8;5.27;3.54;2.33;3.75;25.72
22893;apuana;paedomorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;43.83;18.23;18.23;8.22;10.85;8.32;5.36;7.33;6.4;3.44;2.1;3.71;5.55;4.3;2.4;3.39;7.75;6.47;4.23;2.52;3.42;5.75;4.36;2.81;3.83;33.81
22896;apuana;paedomorphic;Italy;Costa Rimacina. Luriano. Chindino.Siena. Toscana;39.74;16.87;16.87;7.64;9.87;7.34;4.89;6.94;5.44;3.96;1.64;2.38;4.81;3.23;2.19;2.63;7.42;5.5;3.39;1.74;2.98;5.33;3.78;2.8;3.3;25.33
